name,price,Aturan Pakai,uses,Dosis,Efek Samping,Golongan Produk,Indikasi Umum,Kemasan,Komposisi,Kontra Indikasi,Manufaktur,No. Registrasi,Perhatian
Betadine Feminine Hygiene 60 ml,Rp41.200 - Rp42.000,"1. Tuang BETADINE Feminine Hygiene ke tutup botol 2. Larutkan 1 tutup botol(8mL) dengan 1 Liter Air 3. Basuhkan pada area kewanitaan. Diamkan selama 1 menit, bilas dengan air bersih.","BETADINE FEMININE HYGIENE mengandung zat aktif Povidone Iodine, digunakan untuk mengatasi masalah kewanitaan seperti gatal, bau tidak sedap dan keputihan.",Untuk pengobatan gunakan 2 x sehari selama 5 hari berturut-turut.,Iritasi lokal dan sensitif (hentikan pemakaian),Obat Bebas Terbatas (Biru),Cairan area kewanitaan yang terinfeksi,,,,,,
Maybelline Lipstick Superstay Matte Ink 117 Ground Breaker 5 ml,Rp106.000 - Rp132.500,Aplikasikan lipstik di bagian tengah bibir bagian atas Anda lalu ikuti kontur bibir Anda. Pulas lipstik di seluruh bagian bibir bawah.,MAYBELLINE LIPSTICK SUPERSTAY MATTE INK 117 GROUND BREAKER merupakan Lip cream matte dengan ink formula yang menghasilkan warna-warna intens sehingga menyempurnakan tampilan bibir.,,,Produk Konsumen,Sebagai lipstick untuk memberikan warna pada bibir,"Tabung, @ 5 ml","Dimethicone Trimethylsiloxysilicate Isododecane Nylon-611/Dimethicone Copolymer Dimethicone Crosspolymer C30-45 Alkyldimethylsilyl Polypropylsilsesquioxane Lauroyl Lysine Alumina Silica Silylate Disodium Stearoyl Glutamate Phenoxyethanol Caprylyl Glycol Limonene Aluminum Hydroxide Paraffin Benzyl Benzoate Benzyl Alcohol Citronellol Parfum / Fragrance [+/- May Contain / Peut Contenir Ci 45410 / Red 28 Lake Ci 77891 / Titanium Dioxide Ci 15850 / Red 7 Ci 77491, Ci 77492, Ci 77499 / Iron Oxides Ci 45380 / Red 22 Lake Ci 15985 / Yellow 6 Lake Ci 19140 / Yellow 5 Lake Ci 42090 / Blue 1 Lake Ci 15850 / Red 6 Ci 17200 / Red 33 Lake Mica] F.I.L. D197345/2",,L'Oreal Indonesia,BPOM: NA11201300239,
Lapifed Expectorant Sirup 60 ml,Rp39.000 - Rp40.100,Sesudah makan,"LAPIFED EXPECTORANT SIRUP mengandung Triprolidine HCl, Pseudoephedrine HCl, dan Glyceryl guaiacolat. Digunakan untuk mengatasi gejala pilek seperti bersin-bersin, dan hidung tersumbat disertai batuk.",Dewasa: 2 sendok takar (10 ml) 3 x sehari. Anak usia 6-12 thn: 1 sendok takar (5 ml) 3 x sehari.,"Mengantuk, depresi, tremor, bunyi berdengung, denyut jantung cepat, denyut jantung tidak beraturan, berdebar, mulut, hidung dan tenggorokan kering, sakit kepala, ruam kulit, retensi urin, sulit tidur, pandangan kabur, gelisah, kadang-kadang halusinasi",Obat Bebas Terbatas (Biru),Meringankan gejala batuk berdahak & pilek.,"Dus, Botol @ 60 ml","Per 5 mL : Triprolidine HCl 1.25 mg, Pseudoephedrine HCl 15 mg, glyceryl guaiacolate 100 mg","MAOI, hipertensi berat.",Lapi Laboratories,BPOM: DTL0213310937A1,"Penderita hipersensitif terhadap komponen obat ini, penderita yang peka terhadap obat simpatomimetik lain dan yang mendapat terapi obat antidepresan, penderita tekanan darah tinggi, stroke, diabetes, hipertiroid, pembesaran prostat, berat badan berlebih atau pada penderita usia lanjut. Dapat mengganggu kemampuan mengemudi atau menjalankan mesin."
Claritin 10 mg 5 Tablet,Rp39.200 - Rp59.000,"Dapat dikonsumsi sebelum, bersama atau sesudah makan.","CLARITIN TABLET merupakan obat yang mengandung Loratadin. Loratadin merupakan turunan piperidin, yakni antihistamin non-sedatif kerja panjang yang secara selektif menghambat reseptor histamin H1 pada sel efektor. Loratadin digunakan untuk gejala alergi seperti hay fever, urtikaria. Dalam menggunakan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER.","PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Dewasa dan anak usia lebih dari 12 tahun : 10 mg sekali sehari atau 5 mg, 2 x sehari. Anak usia 2-12 tahun : - BB kurang dari 30 kg: 5 mg, 1 x sehari. - BB lebih dari 30: 10 mg, 1 x sehari.","Pemakaian obat umumnya memiliki efek samping tertentu dan sesuai dengan masing-masing individu. Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis. Efek samping yang mungkin terjadi dalam penggunaan obat adalah: Signifikan: Sakit kepala, mengantuk, mengantuk, kelelahan, gugup. Gangguan jantung: Palpitasi, takikardia, hipotensi. Gangguan gastrointestinal: Mulut kering, sakit perut, mual, muntah, diare, gastritis. Gangguan umum dan kondisi situs admin: Malaise. Gangguan hepatobilier: Penyakit kuning, hepatitis, nekrosis hati. Pemeriksaan penunjang: Peningkatan enzim hati, penambahan berat badan. Gangguan metabolisme dan nutrisi: Nafsu makan meningkat. Gangguan sistem saraf: Pusing. Gangguan kulit dan jaringan subkutan: Ruam, alopecia.",Obat Bebas Terbatas (Biru),"INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Obat ini digunakan untuk meredakan gejala alergi seperti hay fever, urtikaria.","Dus, 1 Blister @ 5 Tablet",Loratadine 10 mg,Pada pasien yang menunjukan hipersensitifitas terhadap komponen-komponennya,Bayer Indonesia,BPOM: DTL2102009810A1,"HARUS DENGAN RESEP DOKTER. Hati-hati penggunaan pada pasien gangguan hati dan ginjal yang parah, Anak-anak, Ibu hamil dan menyusui. Obat ini dapat menyebabkan pusing, jika terpengaruh, jangan mengemudi atau mengoperasikan mesin. Kategori Kehamilan: Kategori B: Mungkin dapat digunakan oleh wanita hamil. Penelitian pada hewan uji tidak memperlihatkan ada nya risiko terhadap janin, namun belum ada bukti penelitian langsung terhadap wanita hamil."
Kondom Sutra OK Isi 12,Rp44.000 - Rp48.400,Digunakan pada kelamin pria saat berhubungan intim.,"KONDOM SUTRA OK merupakan kondom import yang digunakan sebagai alat kontrasepsi untuk pria. Produk ini terbuat dari bahan dasar karet lateks alami, berpelumas khusus yang memperpanjang durasi keintiman.",Sesuai kebutuhan. Digunakan saat berhubungan intim,,Alat Kesehatan & Medis Habis Pakai,Alat kontrasepsi,Dus @ 12 Pieces,Latex,,DKT International,Kemenkes RI: AKL21104512098,"Alat Kontrasepsi ini tidak memberikan proteksi 100% pada kehamilan, infeksi HIV, dan penyakit menular seksual. Hanya digunakan untuk 1 kali pakai"
Littlerha Skin Barrier Body Moisturizer 100 g,Rp200.700,Oleskan ke seluruh kulit bayi dua kali sehari setelah mandi mengunakan Littlerha Head To Toe Baby Wash.,"Skin Barrier Body Moisturizer merupakan pelembap kulit sehari-hari yang membantu merawat dan melindungi barrier kulit, pada kulit bayi dan anak-anak. Aman untuk kulit sensitif dan atopi. Kombinasi bahan barrier-repair berperan dalam mengembalikan struktur lipid barrier kulit (stratum korneum) sehingga memperkuat fungsi proteksi dan meningkatkan kelembapan kulit. Anti-inflammatory & Antioxidant, kombinasi 7 Natural Extract (Centella Asiatica Ext, Matrica Flower Ext, Licorice Root Ext, Tea Leaf Ext, Rosemary Leaf Ext) dan Bisabolol sebagai antioksidan, soothing agent untuk meredakan inflamasi yang sekaligus memberikan kenyamanan pada kulit yang teriritasi. Tidak mengandung perfume (fragarance free) dan telah lolos uji hypoallergenic.",Sehari 2 kali,,Produk Konsumen,"pelembap kulit sehari-hari yang membantu merawat dan melindungi barrier kulit, pada kulit bayi dan anak-anak.",Tube 100 g,"1. Kombinasi bahan barrier-repair (Ceramide Complex (1, 3, 6-II, Cholesterol, Free Fatty Acid,Phytospingosine), Fatty acids from Olive Oil, Sodium Lactate, Vitamin E Acetate) berperan dalam mengembalikan struktur lipid barrier kulit (stratum korneum) sehingga memperkuat fungsi proteksi dan meningkatkan kelembapan kulit. 2. Kombinasi 7 Natural Extract (Centella Asiatica Ext, Matrica Flower Ext, Licorice Root Ext, Tea Leaf Ext, Rosemary Leaf Ext) dan Bisabolol sebagai antioksidan, soothing agent untuk meredakan inflamasi yang sekaligus memberikan kenyamanan pada kulit yang teriritasi.",,Genero Pharmaceutical,,
Flimty Fiber Rasa Blackcurrant 1 Sachet,Rp17.500 - Rp21.000,"1 sachet Flimty dituang ke gelas berisi air putih sebanyak 150-250cc, aduk pakai sendok lalu diminum. Minumlah Flimty sebelum makan.","Flimty adalah Minuman segar kaya serat bernutrisi tinggi yg membantu membersihkan saluran pencernaan, dengan cara mengikat minyak, tepung, lemak pada makanan , dan membantu membuang zat toxin pada makanan melalui BAB.",Untuk Detox: 2 sachet per hari (1-2 jam sebelum makan) selama 7 hari. Lalu bisa dilanjutkan dengan 1 atau 2 sachet per hari untuk menjaga kesehatan. Untuk Sehari-hari: 1 sachet per hari (1-2 jam sebelum makan malam). Segera minum Flimty sampai habis setelah di aduk/di shake sebelum mengental.,,Pangan Olahan Diet Khusus,Membantu menurunkan berat badan (pendamping program diet). Membantu merampingkan perut. Membantu melancarkan buang air besar (BAB). Membantu menjaga kesehatan saluran pencernaan. Membantu mengontrol berat badan. Mencukupi nutrisi vitamin dan mineral untuk tubuh.,1 Sachet @ 15 g,"Goji Berry, Psyllium Husk, Soluble Fiber, Prebiotic, Fruktosa (gula buah), Bit Merah, Campuran Buah & Sayuran, Vitamin Premix, Mineral & Enzim",,,BPOM: MD 867009391575,"Tidak dianjurkan untuk wanita hamil, wanita menyusui, dan balita"
Nutrimax Rainbow Kidz Sirup 120 ml,Rp131.000 - Rp216.700,Diminum setelah makan,"NUTRIMAX RAINBOW KIDZ merupakan sirup multivitamin dengan rasa jeruk mandarin yang disukai anak-anak. Kandungan vitamin yang terkandung diantaranya chlorella, choline, bioflavonoids, inositol, alfalfa, dan PABA serta mineral paling lengkap untuk meningkatkan daya tahan tubuh dan mendukung proses tumbuh kembang anak. Manfaat : - Membantu perkembangan otak, meningkatkan konsentrasi, daya ingat dan kemampuan berpikir pada anak - Membantu mengoptimalkan pertumbuhan tulang (tinggi badan) dan gigi - Meningkatkan nafsu makan pada anak",- Anak dibawah 2 tahun : 1 sendok teh per hari setelah makan pagi atau siang - Anak usia 2-6 tahun : 1-2 sendok teh per hari setelah makan pagi atau siang - Anak usia 6-12 tahun : 2-3 sendok teh per hari setelah makan pagi atau siang,"reaksi alergi, hipervitaminosis",Vitamin & Suplemen,Suplemen untuk membantu memelihara kesehatan tubuh dan pertumbuhan anak,"Dus, Botol @ 120 ml","Tiap 5 ml mengandung :Vitamin A (Palmitate) 2100 IU, Vitamin A (Beta Carotene) 900 IU, Vitamin C (Ascorbic Acid) 150 mg, Vitamin D3 (Cholecalciferol) 130 IU, Vitamin E (d-alpha tocopheryl acetate) 18 IU, Vitamin B1 (Thiamin) 2 mg, Vitamin B2 (Riboflavin) 2 mg, Vitamin B3 (Niacinamide) 20 mg, Vitamin B6 (Pyridoxine HCl) 3 mg, Folate (Folic acid) 250 mcg, Vitamin B12 (Cyanocobalamin) 10 mcg, Biotin 50 mcg, Pantothenic Acid (d-Calcium Pantothenate) 10 mg, Calcium (Calcium Citrate & Orotate) 19 mg, Phosphorus (Chelate) 6 mg, Selenium (Selenium Aspartate) 1 mcg, Chromium Picolinate 0.074 mcg, Molybdenum (Molybdenum Aspartate) 0.24 mcg, Potassium (Tri Potassium Citrate) 18 mg, Boron (Boron Citrate) 6 mcg, Chlorella 6 mg, Choline Bitartrate 10 mg, Hesperidin (Bioflavonoids) 12 mg, Inositol 16.5 mg, PABA 3.3 mg, inositol 16.5 mg",hipersensitivitas,Suryaprana Nutrisindo,BPOM: SD202656761,"- Kocok dahulu sebelum diminum- Isi botol bertekanan akibat perbedaan suhu dari negara asal (USA), sebaiknya segel atau aluminium foil pada bibir botol ditusuk terlebih dahulu agar tekanan dalam botol dngan udara di luar sama."
Dom 10 mg 10 Tablet,Rp58.300 - Rp58.400,Dikonsumsi pada perut kosong (1 atau 2 jam sebelum/sesudah makan),"Dom mengandung domperidone. Domperidone merupakan merupakan obat golongan antiemetik yang bekerja dengan cara menghambat reseptor dopamin perifer shg meningkatkan peristaltik esofagus, menurunkan tekanan sfingter esofagus, motilitas dan peristaltik lambung, dan meningkatkan koordinasi gastroduodenal, sehingga memfasilitasi pengosongan lambung dan mengurangi waktu transit usus halus. Obat ini diindikasikan untuk mual & muntah akut serta dispepsia fungsional. Pada anak diindikasikan untuk mual & muntah yang disebabkan kemoterapi & radioterapi untuk kanker. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. Pembelian obat ini memerlukan edukasi terkait penggunaan atau pengonsumsian obat yang tepat dan aman yang akan dikenakan biaya.","PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Dewasa: 10 mg, 3 kali sehari. Maks: 30 mg setiap hari. Durasi perawatan maksimal: 7 hari. Gunakan dosis efektif terendah untuk durasi sesingkat mungkin. Anak: Anak umur <12 tahun <35 kg: 0,25 mg/kg diberikan hingga 3 kali sehari. Maks: 0,75 mg/kg setiap hari. Anak umur 12 tahun 35 kg: Sama seperti dosis dewasa.",Jarang : nyeri perut ringan,Obat Keras (Merah),"Dispesia fungsional, mual akut dan muntah-muntah, termasuk yang disebabkan karena levodopa dan bromokriptin yang lama terapinya lebih dari 12 minggu","Dus, 3 Strip @ 10 Tablet Salut",Domperidone 10 mg,"Perdarahan, obstruksi atau perforasi saluran cerna",Lapi Laboratories,BPOM: DKL0213311709A1,"HARUS DENGAN RESEP DOKTER. Gangguan hati dan ginjal, laktasi, hamil. Pemakaian jangka panjang, anak"
Herocyn Baby Powder 200 g,Rp10.200 - Rp24.300,Taburkan bedak bayi Herocyn pada lipatan-lipatan kulit serta seluruh tubuh bayi sehabis mandi.,"HEROCYN BABY POWDER 200 G adalah bedak bayi yang dapat bermanfaat untuk memelihara agar kulit bayi tetap sehat, segar, halus dan harum.","Sehari beberap x, taburkan pada tempat yang sakit setelah dibersihkan",Dapat terjadi reaksi hipersensitifitas seperti dermatitis.,Produk Konsumen,"Dipergunakan untuk memelihara agar kulit tetap sehat, segar, halus dan harum.","Dus, Kaleng @ 200 gr","Talc, zinc oxide, zinc stearate, parfum.",hipersensitivitas,Coronet Crown,BPOM: NA18140400234,Jauhkan serbuk dari hidung dan mulut bayi. Hindarkan terhirup dan tertelan.
Zycin 500 mg 3 Kaplet,Rp212.900 - Rp226.200,Berikan sebelum makan,"ZYCIN 500 MG adalah obat antibiotik dengan kandungan Azithromycin. Azithromycin merupakan golongan makrolida yang aktivitasnya terhadap bakteri gram positif dan gram negatif. Obat ini bekerja dengan cara mengikat sub unit 50s dari ribosom bakteri sehingga menghambat translasi mRNA. Dengan demikian sistesis protein akan terganggu sehingga pertumbuhan bakteri akan terhambat. Obat ini digunakan untuk pengobatan infeksi yang disebabkan oleh H. influenzae, M. catarrhalis, S. pneumoniae, C. pneumoniae, H. influenzae, Streptococcus pyogenes, S. aureus, atau S. agalactiae. Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. Pembelian obat ini memerlukan edukasi terkait penggunaan atau pengonsumsian obat yang tepat dan aman yang akan dikenakan biaya.","PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Dewasa, lanjut usia, dan anak > 16 tahun infeksi sal nafas, kulit dan struktur kulit : hari ke 1 : 550 mg/hari sebagai dosis tunggal. Hari ke 2 - 5 : 250 mg/hari. Uretritis dan servisitis non GO : 100 mg/hari sebagai dosis tunggal","Reaksi alergi, nefritis interstisial akut, mual, muntah, diare, nyeri perut, kembung, melena, ikterus kolestatik, palpitasi nyeri dada, moniliasis, vaginitis, nefritis pusing, sakit kepala, vertigo, mengantuk, lelah, peningkatan reversibel enzim transminase",Obat Keras (Merah),"INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Infeksi saluran nafas dan bawah, kulit dan jaringan lunak","Dus, 1 Blister @ 3 Kaplet Salut Selaput",Azithromycin 500 mg,"Hipersensitif terhadap eritromisin, azitromisin dan makrolid lain. Gangguan fungsi hati",Interbat,BPOM: DKL0917624109A1,HARUS DENGAN RESEP DOKTER. Anak < 16 tahun
Erha21 Erha 2 Facial Wash For Oily Skin 60ml,Rp56.300 - Rp82.000,Aplikasikan pada wajah yang sudah dibasahi. Pijat lembut hingga berbusa. Bilas dengan air dan keringkan.,"Sabun wajah yang berfungsi untuk mengangkat kotoran, sel kulit mati dan minyak berlebih pada kulit. Menjadikan wajah bersih, tampak lebih cerah dan terasa kencang. Diformulasikan khusus untuk tipe kulit berminyak.",,,Produk Konsumen,"Sabun wajah yang berfungsi untuk mengangkat kotoran, sel kulit mati dan minyak berlebih pada kulit.",Botol @ 60 ml,"Niacinamide sebagai pelembap dan antioxidant untuk membantu mencegah tanda - tanda penuaan dini. AHA untuk membantu mencerahkan dan mengangkat lapisan sel kulit mati sehingga kulit terasa lebih halus dan lembut DMAE bekerja untuk menjadikan kulit terasa lebih kencang Aloevera berfungsi sebagai moisturizer, antiinflamasi, antioksidan Glicolic acid berfungsi sebagai exfoliating",,Genero Pharmaceutical,BPOM: NA18141203549,
L-Zinc Sirup 100 ml,Rp42.400 - Rp53.300,Dikonsumsi bersama makanan,"L-ZINC SIRUP merupakan suplemen yang mengandung zat aktif ZInc. Suplemen ini digunakan sebagai terapi pelengkap diare pada anak-anak dan digunakan bersama garam rehidrasi oral (ORS). Zinc bekerja dengan meningkatkan absorpsi air dan elektrolit, meningkatkan regenerasi dari epitelium usus, meningkatkan kadar enzim brush border, serta meningkatkan respon imun. Oleh karena itu, pengeluaran patogen akan lebih baik.","Bayi usia 2-6 bulan : 1 sendok takar 5 ml, 1 kali sehari selama 10 hari (walaupun diare sudah berhenti). Anak usia 6 bulan-5 tahun : 2 sendok takar 5 ml (10 ml), 1 kali sehari selama 10 hari berturut-turut, bahkan jika diare sudah berhenti. Selama diare masih berlangsung, selain diberikan suplementasi zinc juga diberikan garam rehidrasi oral. Para ibu menyusui dianjurkan untuk tetap menyusui atau meningkatkan frekuensi menyusui pada anak selama dan setelah diare.","Pemakaian obat umumnya memiliki efek samping tertentu dan sesuai dengan masing-masing individu. Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis. Efek samping yang mungkin terjadi dalam penggunaan obat adalah: Rasa pahit, mual, muntah dan iritasi pada mulut.",Obat Bebas Terbatas (Biru),Terapi pelengkap diare pada anak-anak. Digunakan bersama garam rehidrasi oral (oralit).,"Dus, Botol @ 100 ml",Tiap sendok teh (5ml) mengandung Zn sulphate monohydrate setara dengan zinc elemental 10mg,Belum dilaporkan adanya kontraindikasi untuk penggunaan obat ini,Lapi Laboratories,BPOM: DTL1213317337A1,Tetap berikan ASI bagi bayi yang masih menyusui. Berikan asupan cairan yang cukup pada anak selama diare untuk mencegah dehidrasi.
Flutamol 10 Kaplet,Rp5.000 - Rp19.200,Sesudah makan,"FLUTAMOL mengandung Parasetamol, Fenilpropanolamin HCl, Klorfeniramin Maleat, Gliseril Guaiakolat. FLUTAMOL digunakan untuk meringankan gejala-gelaja flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin disertai batuk. Obat ini bekerja sebagai analgesik (mengurangi rasa sakit), antipiretik (menurunkan demam), antihistamin (meredakan gejala alergi), ekspektoran (pereda batuk berdahak), dan dekongestan hidung (melegakan hidung tersumbat).","Dewasa : 1 kaplet, 3-4 kali sehari. Anak-anak 6-12 tahun : 1/2 kaplet, 3-4 kali sehari.","Pemakaian obat umumnya memiliki efek samping tertentu dan sesuai dengan masing-masing individu. Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis. Efek samping yang mungkin terjadi dalam penggunaan obat adalah: Mengantuk, gangguan pencernaan, gangguan psikomotor, takikardi, aritmia, mulut kering, palpitasi, retensi urin. Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati.",Obat Bebas Terbatas (Biru),"Untuk meringankan gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk.","Dus, 10 Strip @ 10 Kaplet","Tiap kaplet mengandung : Paracetamol 500 mg, phenylpropanolamine HCl 15 mg, chlorpheniramine maleate 2 mg, glyceryl guaiacolate 50 mg.",Penderita dengan gangguan jantung dan diabetes mellitus. Penderita dengan gangguan fungsi hati yang berat. Penderita yang hipersensitif terhadap komponen obat ini. Penderita yang mendapatkan terapi obat antidepresan tipe MAOI.,Pyridam Farma,BPOM: DTL8721001904A1,"Dapat menyebabkan kantuk. Tidak boleh melebihi dosis yang dianjurkan. Hati-hati penggunaannya pada penderita dengan gangguan fungsi hati dan ginjal, hipertensi, glaukoma, hipertrofi prostat, hipertiroid dan retensi urin. Tidak dianjurkan pada anak usia di bawah 6 tahun, wanita hamil dan menyusui, kecuali atas petunjuk dokter. Hati-hati penggunan bersama dengan obat-obat lain yang menekan susunan saraf pusat. Selama minum obat ini tidak boleh mengendari kendaraan bermotor atau menjalankan mesin. Penggunaan pada penderita yang mengonsumsi alkohol dapat meningkatkan risiko kerusakan fungsi hati. Apabila setelah 3 hari gejala tidak membaik, segera hubungi dokter atau unit pelayanan kesehatan. Hentikan penggunaan obat apabila terjadi susah tidur, jantung berdebar dan pusing."
Colfin 10 Kaplet,Rp9.000 - Rp13.000,Sesudah makan,"Colfin merupakan obat yang mengandung Paracetamol, Ammonium Chloride, Guaifenesin, Phenylpropanolamine HCl, Dextromethorphan HBr dan Chlorphenamine Maleate. Obat ini diindikasikan untuk meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk",Dewasa : 3 x sehari 1 tablet,"Mengantuk, gangguan GI, gangguan psikomotor, takikardi, aritmia, mulut kering, retensi urin, gangguan hati",Obat Bebas Terbatas (Biru),"Meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk","Dus, 1 Botol @ 60 ml","Paracetamol, Ammonium Chloride, Guaifenesin, Phenylpropanolamine HCl, Dextromethorphan HBr, Chlorphenamine Maleate","Penderita dengan gangguan jantung, gangguan fungsi hati yang berat dan hipersensitif.",Nufarindo,BPOM: DTL8618202009A1,"Tidak boleh melebihi dosis yang dianjurkan. Hati-hati penggunaan pada penderita tekanan darah tinggi, atau stroke, seperti penderita dengan berat badan berlebih atau usia lanjut. Bila dalam 3 hari gejala flu tidak berkurang segera hubungi dokter. Hentikan penggunaan obat ini jika terjadi susah tidur, jantung berdebar dan pusing."
Hydrocortisone Cream 1 % 5 g,Rp6.300 - Rp8.000,oleskan tipis pada bagian yang membutuhkan,"HYDROCORTISON CREAM adalah obat adrenokortikal steroid yang memiliki sifat anti-inflamasi, anti alergi dan anti pruritus pada jaringan kulit. Hydrocortison di gunakan untuk mengobati eksim, inflamasi, kemerahan,serta gatal-gatal pada kulit, beberapa jenis infeksi kulit yang dapat diobati contohnya dermatitis alergi, dermatitis kontak, dermatitis atopi, pruritus anogenital, neurodermatitis. Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER.",PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Oleskan pada kulit yang bermasalah 1-2 kali per hari.,"Pemakaian obat umumnya memiliki efek samping tertentu dan sesuai dengan masing-masing individu. Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis. Efek samping yang mungkin terjadi dalam penggunaan obat adalah: atrofi kulit, lesi, dermatitis perioral, folikulitis, gatal, perubahan pigmentasi, penekanan HPA (dengan potensi lebih tinggi yang digunakan >2 minggu).",Obat Keras (Merah),INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Dermatitis atopik dan kontak,"Dus, Tube @ 5 g",Hydrocortisone acetate 1 %,"Hipersensitif, pengobatan dermatitis, penggunaan mata, infeksi mendasar",Generic Manufacturer,BPOM: GKL7211642829A1* *) Obat ini merupakan obat Generik. Nomor Registrasi dapat berbeda sesuai dengan ketersediaan stock Apotek.,"Obat Wajib Apotek, Obat ini dapat dibeli dan diserahkan apoteker tanpa resep dengan maksimum 1 Tube. Pembelian melebihi batas ini WAJIB RESEP DOKTER. Gunakan hati-hati pada pasien dengan diabetes, penyakit kardiovaskular, gangguan hati, infark miokard, miastenia gravis, osteoporosis, penyakit mata, gangguan ginjal, atau penyakit tiroid. Infeksi kulit. Hindari penggunaan jangka panjang. Hindari penggunaan pada mata, membran mukosa, kulit yang sensitif atau luka terbuka"
Capsinat Dry Sirup 60 ml,Rp55.700 - Rp74.600,Berikan bersama makanan,"Capsinat merupakan antibiotik yang digunakan untuk mengobati infeksi saluran pernafasan, infeksi saluran kemih, saluran cerna, kulit dan jaringan lunak. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. Pembelian obat ini memerlukan edukasi terkait penggunaan atau pengonsumsian obat yang tepat dan aman yang akan dikenakan biaya.","PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Anak usia < 1 tahun (7.5 kg) : 3 kali sehari 2,5 ml. Anak usia 1 - 6 tahun (10 - 18 kg) : 3 kali sehari 5 ml.","Diare, mual, muntah, idigesti, kolitis pseudomembran, kandidiasis, hepatitis, kolestatik jaundice, urtikaria dan eritema multiformis, sidrom Stevens-Johnson, nekrolisis epidermal toksik, dermatitis eksfoliatif, angieodema, anafilaksis, nefritis interstisial. leukopenia, trombositopenia, anemia hemolitik",Obat Keras (Merah),"Pengobatan jangka pendek infeksi saluran nafas bagian atas dan bawah, infeksi saluran kemih dan kelamin, infeksi kulit dan jaringan lunak, osteomielitis (radang sumsum tulang), septikemia (keracunan darah oleh bakteri patogenik dan/atau zat-zat yang dihasilkan oleh bakteri tersebut), peritonitis (radang selaput perut).","Dus, Botol @ 60 ml","Per 5 mL: Co-amoxiclav (Amoxicillin 125 mg, clavulanic acid 31,25 mg)","Hipersensitif terdapa penisilin, neonatus yang lahir dari ibu dengan hipersensitif penisilin atau derivatnya, riwayat cholestatic jaundice (gangguan fungsi hati)",Caprifarmindo,BPOM: DKL0932402938A1,"HARUS DENGAN RESEP DOKTER. Gangguan hati berat, gangguan ginjal sedang atau berat. Hindari pemakaian jangka panjang. Superinfeksi. Hamil dan laktasi"
